"Tipo";"Nombre";"Dirección";"C.Postal";"Provincia";"Municipio";"Localidad";"Nucleo";"Teléfono 1";"Teléfono 2";"Teléfono 3";"Fax";"Email";"web";"Q Calidad";"Central Reservas";"Posada Real";"GPS.Longitud";"GPS.Latitud";
"Casa Rural de Alquiler";"PEÑALARA";"C.L. 601, KM. 123";"40109";"Segovia";"Real Sitio de San Ildefonso";"PRADERA DE NAVALHORNO (LA)";"";"921470548";"";"";"";"";"";"";"";"";"-4,0124048";"40,8926738";
"Casa Rural de Alquiler";"MONTON DE TRIGO";"C.L. 601, KM. 123";"40109";"Segovia";"Real Sitio de San Ildefonso";"PRADERA DE NAVALHORNO (LA)";"";"921470548";"";"";"";"";"";"";"";"";"-4,0124048";"40,8926738";
"Casa Rural de Alquiler";"LA SILLA DEL REY";"C.L. 601, KM. 123";"40109";"Segovia";"Real Sitio de San Ildefonso";"PRADERA DE NAVALHORNO (LA)";"";"921470548";"";"";"";"";"";"";"";"";"-4,0124048";"40,8926738";
"Casa Rural de Alojamiento Compartido";"LA MORADA DEL CURA";"Calle BODEGAS 9";"40356";"Segovia";"Calabazas de Fuentidueña";"CALABAZAS DE FUENTIDUEÑA";"CALABAZAS DE FUENTIDUEÑA";"921533538";"";"";"";"MARELINO19001@GMAIL.ES";"";"";"";"";"-4,0099967";"41,4452605";
"Casa Rural de Alquiler";"LOS CARRETEROS";"LOS CARRETEROS, 8";"40520";"Segovia";"Corral de Ayllón";"CORRAL DE AYLLON";"CORRAL DE AYLLON";"659318299";"921555176";"";"";"";"";"";"";"";"-3,4584163";"41,3908777";
"Casa Rural de Alquiler";"EL CALEYO";"TORENO, 25";"24438";"León";"Berlanga del Bierzo";"BERLANGA DEL BIERZO";"BERLANGA DEL BIERZO";"616913892";"616913893";"";"";"elcaleyo@lycos.es";"usuarios.lycos.es/elcaleyo";"";"";"";"-6,6072867";"42,7309372";
"Centro de Turismo Rural";"CASA LIGIA";"TRAVESÍA DEL AYUNTAMIENTO, Nº 7";"05461";"Ávila";"Mijares";"MIJARES";"";"920 385 015";"920 206 204";"";"";"";"";"";"";"";"-4,8374158";"40,2968078";
"Casa Rural de Alquiler";"VILLA CONDAL";"Calle ALBA, 18";"37893";"Salamanca";"Villagonzalo de Tormes";"VILLAGONZALO DE TORMES";"VILLAGONZALO DE TORMES";"923372051";"616616958";"";"923372051";"villacondal2@hotmail.com";"www.villacondal.es";"";"";"";"-5,4990088";"40,8918279";
"Casa Rural de Alquiler";"LA AZUELA";"CALLE LA IGLESIA, S/N";"34811";"Palencia";"Aguilar de Campoo";"CANDUELA";"CANDUELA";"979748827";"655644688";"";"";"valrural@valrural.com";"www.valrural.com";"";"Si";"";"-4,272319";"42,7899486";
"Casa Rural de Alquiler";"CASONA LOS ABEDULES";"LA IGLESIA, S/N";"34811";"Palencia";"Aguilar de Campoo";"CANDUELA";"CANDUELA";"979748827";"655644688";"";"";"valrural@valrural.com";"www.valrural.com";"";"Si";"";"-4,272319";"42,7899486";
"Casa Rural de Alquiler";"EL HIGUERAL DE LAS SAYUELAS - CUELLO DAMA";"PARAJE DE LAS SAYUELAS";"05489";"Ávila";"Candeleda";"RASO (EL)";"RASO (EL)";"670232814";"920 389810";"";"";"info@elhigueral.es";"www.higueraldelasayuela.com";"";"";"";"-5,2660879";"40,1495014";
"Casa Rural de Alquiler";"LA TRAMONERA II";"POSTIGO, 2";"37671";"Salamanca";"San Esteban de la Sierra";"SAN ESTEBAN DE LA SIERRA";"SAN ESTEBAN DE LA SIERRA";"923435250";"636358644";"";"";"";"latramonera@yahoo.es";"";"Si";"";"-5,9056565";"40,5066345";
"Casa Rural de Alquiler";"ANTOÑICA (CIERRE TEMPORAL)";"C/LLANO, 20";"05417";"Ávila";"Guisando";"GUISANDO";"GUISANDO";"920 374 239";"609 062 546";"";"";"";"";"";"";"";"-5,1405087";"40,2220236";
"Casa Rural de Alquiler";"LA LAGUNA";"Calle ARROYO 4  Bajo";"05691";"Ávila";"Solana de Ávila";"LOROS (LOS)";"LOROS (LOS)";"608303400";"657553400";"";"";"topcasasruralesavila@gmail.com";"casas-rurales-avila-gredos.com";"";"";"";"-5,5984271";"40,3479327";
"Casa Rural de Alquiler";"PEDRO";"C/ ONÉSIMO REDONDO, 8";"47315";"Valladolid";"Pesquera de Duero";"PESQUERA DE DUERO";"";"609909985";"983881427";"";"";"";"";"";"";"";"-4,1559619";"41,642349";
"Casa Rural de Alquiler";"EL CAMINO";"C/ REAL DE CUELLAR, 28";"47320";"Valladolid";"Montemayor de Pililla";"MONTEMAYOR DE PILILLA";"MONTEMAYOR DE PILILLA";"983358620";"607241672";"";"";"casaruralelcamino@hotmail.com   88dunkan@gmail.com";"";"";"";"";"-4,4570342";"41,5084135";
"Casa Rural de Alquiler";"EL PATIO CHICO";"Calle ARROYO 4  1º";"05691";"Ávila";"Solana de Ávila";"LOROS (LOS)";"LOROS (LOS)";"657553400";"657553400";"";"920206235";"";"www.casasgredos.com";"";"";"";"-5,5984271";"40,3479327";
"Casa Rural de Alquiler";"EL PORCHE";"EL CERRILLO, S/N";"42145";"Soria";"Cidones";"VILLAVERDE DEL MONTE";"VILLAVERDE DEL MONTE";"636308795";"";"";"";"";"www.elporche.com";"";"";"";"-2,6397314";"41,8142832";
"Casa Rural de Alquiler";"LA CASA DEL TIO TANGO I";"PLAZA MARIANO SILVELA, 5 - Bajo Izquierda";"05320";"Ávila";"Cardeñosa";"CARDEÑOSA";"CARDEÑOSA";"920 20 62 04";"";"";"";"";"";"";"";"";"-4,7448877";"40,7419963";
"Casa Rural de Alquiler";"LA CASA DEL TIO TANGO II";"PLAZA MARIANO SILVELA, 5-1ª";"06320";"Ávila";"Cardeñosa";"CARDEÑOSA";"CARDEÑOSA";"920206204";"902424141";"";"920206235";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-4,7448877";"40,7419963";
"Centro de Turismo Rural";"ROBLE GORDO";"Calle TRAVESIA DE LA IGLESIA";"09660";"Burgos";"Rabanera del Pinar";"RABANERA DEL PINAR";"RABANERA DEL PINAR";"947386148";"";"";"";"";"wwwroblegordo.com";"";"";"";"-3,1932639";"41,892872";
"Casa Rural de Alojamiento Compartido";"QUINTA TERMINO";"CTRA. BURGOS-BILBAO, S/N";"09219";"Burgos";"Santa Gadea del Cid";"SANTA GADEA DEL CID";"";"628548869";"";"";"";"";"";"";"";"";"-3,0840517";"42,6660256";
"Casa Rural de Alquiler";"ENCINARES I";"C/SAN LEONARDO, S/N. (CENTRO)";"05160";"Ávila";"Ávila";"NARRILLOS DE SAN LEONARDO";"NARRILLOS DE SAN LEONARDO";"659084525";"";"";"920253534";"casas-encinares@terra.es";"";"";"";"";"-4,7247687";"40,6952109";
"Casa Rural de Alquiler";"ENCINARES II";"C/SAN LEONARDO S/N. (DERECHA)";"05160";"Ávila";"Ávila";"NARRILLOS DE SAN LEONARDO";"NARRILLOS DE SAN LEONARDO";"659084525";"";"";"920253534";"casas-encinares@terra.es";"";"";"";"";"-4,7247687";"40,6952109";
"Casa Rural de Alquiler";"SAN JUSTO";"FUENTECIELLA S/N";"49358";"Zamora";"San Justo";"SAN JUSTO";"SAN JUSTO";"676971913";"";"";"";"";"";"";"";"";"-6,625509";"42,1343012";
"Casa Rural de Alquiler";"LA FUENTE";"LA FUENTE, 5";"40185";"Segovia";"Cubillo";"CUBILLO";"CUBILLO";"921434095";"626215457";"";"";"";"";"";"";"";"-3,9088654";"41,1219588";
"Casa Rural de Alquiler";"ARROAL";"Calle PINO 46   A";"37657";"Salamanca";"Sotoserrano";"SOTOSERRANO";"SOTOSERRANO";"923422005";"610648359";"";"";"arroal@arroal.com";"www.arroal.com";"";"Si";"";"-6,0337203";"40,4371512";
"Casa Rural de Alquiler";"RINCON DEL TABLAO";"RINCON DEL TABLAO, 38";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415385";"618212750";"";"";"";"www.fotorural.com/laalberca";"";"";"";"-6,1106836";"40,4873677";
"Casa Rural de Alquiler";"LA ESTACIÓN";"Carretera N-122, Km, 250";"09491";"Burgos";"Vid y Barrios (La)";"ZUZONES";"ZUZONES";"639712682";"";"";"";"laestaciondelavid@gmail.com";"";"";"Si";"";"-3,4936811";"41,6320714";
"Casa Rural de Alquiler";"BIGOTES";"Calle  WOLTA 14";"09199";"Burgos";"Arlanzón";"ARLANZON";"ARLANZON";"678606333";"";"";"";"info@casaruralbigotes.com";"www.casaruralbigotes.com";"";"Si";"";"-3,4579856";"42,3224235";
"Casa Rural de Alquiler";"JUDERIA";"C/ CORRALES, 3";"09340";"Burgos";"Lerma";"LERMA";"";"947170379";"607185425";"";"";"";"";"";"";"";"-3,7587923";"42,0256378";
"Casa Rural de Alquiler";"CAÑÓN DEL RIO LOBOS II";"CARRETERA, 23";"42148";"Soria";"Casarejos";"CASAREJOS";"CASAREJOS";"975376596";"610 87 80 88";"";"";"info@canonderiolobos.com";"www.canonderiolobos.com";"";"";"";"-2,9161494";"41,7816202";
"Casa Rural de Alquiler";"LA CASA VIEJA";"C/ LA IGLESIA, 13";"05416";"Ávila";"Arenal (El)";"ARENAL (EL)";"ARENAL (EL)";"687535557";"";"";"";"";"www.lacasavieja-arenal.com";"";"";"";"-5,0854682";"40,2668409";
"Hotel Rural";"CASA CRISOL";"Paraje SABINA S/N";"05400";"Ávila";"Arenas de San Pedro";"ARENAS DE SAN PEDRO";"ARENAS DE SAN PEDRO";"920 37 07 70";"607781058";"";"";"casacrisol@gmail.com";"www.casacrisol.com";"";"Si";"";"-5,0803387";"40,203313";
"Casa Rural de Alquiler";"LA TATA";"C/ ABADÍA, 4";"47330";"Valladolid";"Traspinedo";"TRASPINEDO";"TRASPINEDO";"983682644";"656828320";"";"";"info@latata.es";"www.latata.es";"";"";"";"-4,4757585";"41,5752117";
"Casa Rural de Alquiler";"CASTELLANA";"BARRIO NUEVO, 1";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"";"923437112";"677510374";"";"";"casaplacita@hotmail.com";"www.sierradesalamanca.com";"";"";"";"-6,0119728";"40,5128111";
"Casa Rural de Alquiler";"ALAMO";"PLAZA OBISPO MARIJUAN,24";"37658";"Salamanca";"Villanueva del Conde";"VILLANUEVA DEL CONDE";"";"635636605";"923437568";"";"";"";"www.sierradesalamanca.com";"";"";"";"-6,0125492";"40,5104896";
"Casa Rural de Alquiler";"SERVIARIAS";"Calle  MAGISTRAL  AGUADO Nº 14 (BAJO)";"34440";"Palencia";"Frómista";"FROMISTA";"FROMISTA";"979810148";"626959079";"635460641";"979810148";"info@casaruralserviarias.com";"www.casaruralserviarias.com";"";"";"";"-4,4049086";"42,2679769";
"Casa Rural de Alquiler";"ANTONIO Y MARCELINO";"C/ MAGRISTRAL  AGUADO, nº 14 (1º PLANTA)";"34440";"Palencia";"Frómista";"FROMISTA";"FROMISTA";"979810148";"626959079";"635460641";"979810148";"info@casruralserviarias.com";"www.casaruralserviarias.com";"";"";"";"-4,4055417";"42,267001";
"Casa Rural de Alquiler";"LA BUHARDILLA DE GREDOS";"PLAZA DE LA CRUZ, 7";"05635";"Ávila";"Navarredonda de Gredos";"NAVARREDONDA DE GREDOS";"";"920348388";"";"";"";"";"";"";"";"";"-5,1355014";"40,3623099";
"Casa Rural de Alquiler";"LOS CHOPOS";"Carretera SALAMANCA 5";"37727";"Salamanca";"Montemayor del Río";"MONTEMAYOR DEL RIO";"MONTEMAYOR DEL RIO";"923431274";"659423283";"";"";"casaloschopos@ono.com";"www.casaloschopos.com";"";"";"";"-5,8948721";"40,3486967";
"Casa Rural de Alquiler";"LA VEREDILLA (CIERRE TEMPORAL)";"C/ MANUEL CASTELL, 1";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920 20 62 04";"";"";"";"";"";"";"";"";"-5,1734176";"40,3572613";
"Casa Rural de Alquiler";"EL CEDRO II (CIERRE TEMPORAL)";"C/ BARCO, 4 - 1ª PLANTA";"05634";"Ávila";"Hoyos del Espino";"HOYOS DEL ESPINO";"HOYOS DEL ESPINO";"920 206204";"635325156";"";"920 20 6235";"";"";"";"";"";"-5,1768873";"40,3580651";
"Casa Rural de Alquiler";"LA OLMA";"PLAZA DE LA CONSTITUCIÓN, 9";"05213";"Ávila";"Langa";"LANGA";"";"920 20 62 04";"";"";"";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-4,8590399";"41,0073656";
"Casa Rural de Alquiler";"LA CAÑUELA";"CALLE BALSILLA, 31";"34249";"Palencia";"Baltanás";"VALDECAÑAS DE CERRATO";"VALDECAÑAS DE CERRATO";"607916695";"";"";"";"";"www.lacanuela.net";"";"";"";"-4,1865033";"41,9934291";
"Casa Rural de Alquiler";"REYES CATÓLICOS";"REYES CATOLICOS, S/N";"42140";"Soria";"San Leonardo de Yagüe";"SAN LEONARDO DE YAGÜE";"SAN LEONARDO DE YAGÜE";"975376517";"";"";"";"ana@casaruralrrcc.com";"www.casaruralrrcc.com";"";"";"";"-3,0741783";"41,8327012";
"Casa Rural de Alquiler";"HUMILLADERO";"C/ ALTA, 36";"09123";"Burgos";"Sasamón";"SASAMON";"SASAMON";"947370001";"";"";"";"";"";"";"";"";"-4,0401754";"42,4183672";
"Centro de Turismo Rural";"CAMARGA";"LA ERMITA, S/N.";"24732";"León";"Santiago Millas";"SANTIAGO MILLAS";"SANTIAGO MILLAS";"656395158";"";"";"";"";"www.camarga.es";"";"";"";"-6,1054091";"42,382732";
"Casa Rural de Alquiler";"LA HERRERIA";"SOLANO, 24";"24414";"León";"Ponferrada";"COMPLUDO";"COMPLUDO";"649390550";"660215701";"";"";"";"";"";"";"";"-6,6007499";"42,5484905";
"Casa Rural de Alojamiento Compartido";"PILAR FRADE";"Calle CAMINO DE SANTIAGO 34";"24523";"León";"Trabadelo";"TRABADELO";"TRABADELO";"649844307";"";"";"";"";"";"";"";"";"-6,8813079";"42,6493995";
"Casa Rural de Alquiler";"SIERRA CEBOLLERA";"Calle PONTON 3";"42165";"Soria";"Sotillo del Rincón";"MOLINOS DE RAZON";"MOLINOS DE RAZON";"629110612";"";"";"";"pazvallerazon@hotmail.com";"www.casasierracebollera.com";"";"";"";"-2,6018192";"41,9496353";
"Casa Rural de Alojamiento Compartido";"LA SOLANA";"LA SOLANA, S/N.";"24144";"León";"San Emiliano";"TORRESTIO";"TORRESTIO";"987685422";"";"";"";"";"";"";"";"";"-6,0007506";"42,9717106";
"Centro de Turismo Rural";"LAS MIESES";"C/ CERCA, 21";"47673";"Valladolid";"Roales de Campos";"ROALES DE CAMPOS";"ROALES DE CAMPOS";"980665004";"618278535";"";"980665016";"info@lasmieses. com";"www.lasmieses.com";"";"";"";"-5,4748934";"42,0304396";
"Casa Rural de Alquiler";"EL CAMPILLO II";"PALACIOS, 1";"42162";"Soria";"Buitrago";"BUITRAGO";"BUITRAGO";"687909317";"";"";"";"";"www.elcampillosoria.com";"";"";"";"-2,409077";"41,8475109";
"Centro de Turismo Rural";"EL MOLINO DE LA ROPERIA";"LA ROPERIA, 2";"24836";"León";"Matallana de Torío";"SERRILLA";"";"987578347";"";"";"";"";"";"";"";"";"-5,5163705";"42,8396204";
"Casa Rural de Alquiler";"TIO PILATOS";"C/ REAL, 6";"40150";"Segovia";"Villacastín";"VILLACASTIN";"";"651992753";"921197088";"";"";"";"";"";"";"";"-4,4136933";"40,7784565";
"Casa Rural de Alquiler";"SALTUS ALVUS-VIVIENDA PRINCIPAL";"C/ TEJADILLO, 1";"40170";"Segovia";"Sotosalbos";"SOTOSALBOS";"SOTOSALBOS";"639891220";"";"";"";"casarural.saltusalvus@gmail.com";"www.saltusalvus.es";"";"";"";"-3,9428361";"41,0350071";
"Casa Rural de Alquiler";"CASAS DE YAGÜE B";"C/ REAL, 18";"40520";"Segovia";"Ayllón";"SANTA MARIA DE RIAZA";"";"921553308";"616755643";"";"";"";"";"";"";"";"-3,3363133";"41,3627782";
"Centro de Turismo Rural";"ALIMARI";"C/ PEÑA, S/N";"49359";"Zamora";"San Justo";"SAN CIPRIAN";"SAN CIPRIAN";"670070728";"980567642";"";"913430224";"";"www.sanabriaventura.com";"";"";"";"-6,6587064";"42,1727635";
"Casa Rural de Alquiler";"LA CHIMENEA";"Calle SEVERIANO RODRIGUEZ S/N";"05560";"Ávila";"Villatoro";"VILLATORO";"VILLATORO";"626583505";"920230126";"";"";"";"";"";"";"";"-5,1132493";"40,5558985";
"Casa Rural de Alquiler";"PUENTE DE LAS AZUCENAS";"CASERIOS DEL SUR (CAMINO DE ROLLARES)";"05500";"Ávila";"Piedrahíta";"PIEDRAHITA";"PIEDRAHITA";"920 20 62 04";"";"";"";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-5,3253091";"40,462736";
"Casa Rural de Alquiler";"CASA LA CANTERA";"C/ GENERALISIMO, 35";"05570";"Ávila";"Casas del Puerto";"CASAS DEL PUERTO DE VILLATORO";"CASAS DEL PUERTO DE VILLATORO";"659 961 006";"920 20 62 04";"";"920 20 62 35";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-5,1962735";"40,5296498";
"Posada";"LA MULA DE LOS ARRIBES";"Calle Verónica 8";"49250";"Zamora";"Villardiegua de la Ribera";"VILLARDIEGUA DE LA RIBERA";"VILLARDIEGUA DE LA RIBERA";"980618079";"699970108";"";"980618021";"lamuladelosarribes@hotmail.com";"www.lamuladelosarribes.com";"";"Si";"Si";"-6,1821835";"41,5369465";
"Casa Rural de Alquiler";"CASAS DE YAGÜE A";"C/ REAL, 18";"40594";"Segovia";"Ayllón";"SANTA MARIA DE RIAZA";"";"921553308";"616755643";"";"";"";"";"";"";"";"-3,4012366";"41,4134734";
"Casa Rural de Alquiler";"LA COSTANILLA I";"Calle COSTANILLA 32";"26127";"Soria";"Montenegro de Cameros";"MONTENEGRO DE CAMEROS";"MONTENEGRO DE CAMEROS";"941468211";"679846200";"";"";"lacostanilla@lacostanilla.com";"www.lacostanilla.com";"";"Si";"";"-2,7513689";"42,0895484";
"Casa Rural de Alquiler";"LA COSTANILLA II";"Calle COSTANILLA 32";"26127";"Soria";"Montenegro de Cameros";"MONTENEGRO DE CAMEROS";"MONTENEGRO DE CAMEROS";"941468211";"679846200";"";"";"lacostanilla@lacostanilla.com";"www.lacostanilla.com";"";"Si";"";"-2,7513689";"42,0895484";
"Casa Rural de Alquiler";"AVENTURA";"COLONIA VENERO CLARO, Nº 14";"05100";"Ávila";"Navaluenga";"NAVALUENGA";"NAVALUENGA";"920 286 118";"610 681 440";"";"";"info@avilarural.net";"www.avilarural.net";"";"";"";"-4,7057041";"40,4126514";
"Casa Rural de Alquiler";"EL BADAJO";"C/REAL, Nº 11, 1º";"05571";"Ávila";"Casas del Puerto";"CASAS DEL PUERTO DE VILLATORO";"CASAS DEL PUERTO DE VILLATORO";"920 206 204";"902 424 141";"";"920 206 235";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-5,1883545";"40,4854745";
"Casa Rural de Alquiler";"CAMINO DE GREDOS";"AVDA. DE MADRID, Nº 206";"05430";"Ávila";"Adrada (La)";"ADRADA (LA)";"ADRADA (LA)";"661 835 266";"686 778 048";"";"";"";"";"";"Si";"";"-4,642959";"40,30462";
"Posada";"CERCADOS";"Calle  CERCADOS 7";"40153";"Segovia";"Segovia";"FUENTEMILANOS";"FUENTEMILANOS";"921485800";"650453221";"";"921485800";"info@posadaloscercados.com";"www.posadaloscercados.com";"";"";"";"-4,2291442";"40,8747359";
"Casa Rural de Alquiler";"EL BOYO";"C/DE LA IGLESIA, Nº 11";"05280";"Ávila";"Mingorría";"MINGORRIA";"MINGORRIA";"920 206 204";"920 200 054";"";"920 206 235";"casasdegredos@diputacionavila.es";"www.casasgredos.com";"";"";"";"-4,6653392";"40,7512112";
"Casa Rural de Alojamiento Compartido";"LA CAPILLA";"C/CAPILLA, Nº 21, BAJO IZDA.";"05220";"Ávila";"Madrigal de las Altas Torres";"MADRIGAL DE LAS ALTAS TORRES";"MADRIGAL DE LAS ALTAS TORRES";"920 320 264";"699 890 162";"";"";"pedroalonso@hotmail.com";"";"";"";"";"-4,9992828";"41,0915904";
"Centro de Turismo Rural";"CASONA DE SOTOSCUEVA";"CL/REAL, 27";"09568";"Burgos";"Merindad de Sotoscueva";"CUEVA";"";"947/138835";"675/097170";"";"";"";"";"";"";"";"-3,6668636";"43,039967";
"Casa Rural de Alquiler";"LOS PALOMOS";"URB. PINAR DE NAVARES. C/PICO ZAPATERO, 136";"05163";"Ávila";"Peñalba de Ávila";"PEÑALBA DE AVILA";"PEÑALBA DE AVILA";"920 255 475";"920 254 549";"";"";"";"";"";"";"";"-4,6825885";"40,8225707";
"Casa Rural de Alquiler";"LA PLAZUELA";"Calle CHORILLO 86";"05697";"Ávila";"Navalonguilla";"NAVALONGUILLA";"NAVALONGUILLA";"920343802";"647544399";"";"";"contacta@casalaplazuela.com";"";"";"";"";"-5,4993997";"40,2777673";
"Casa Rural de Alquiler";"LA CASA DEL SECRETARIO";"C/ DAMASO CABRERIZO, 3";"42113";"Soria";"Trévago";"TREVAGO";"TREVAGO";"628497497";"975383089";"975383106";"";"";"www.trebago.com";"";"";"";"-2,1024696";"41,8733468";
"Centro de Turismo Rural";"SIERRA DE TABANERA";"C/ REAL, 4";"42169";"Soria";"Almarza";"SAN ANDRES DE SORIA";"";"975250073";"628164523";"";"";"angelesmayor@yahoo.es";"www.sierradetabanera.com";"";"";"";"-2,5098838";"41,9879464";
"Casa Rural de Alquiler";"LAS ERAS";"C/ LAS ERAS, 15";"42145";"Soria";"Cidones";"CIDONES";"CIDONES";"680465396";"618644597";"";"";"";"";"";"";"";"-2,6397314";"41,8142832";
"Casa Rural de Alquiler";"VILLA LUZ I";"C/ SOLEDAD, 2";"42146";"Soria";"Abejar";"ABEJAR";"ABEJAR";"655594985";"975373117";"";"";"abejar@villaluz.com.";"www.villa-luz.com.";"";"";"";"-2,7818654";"41,8065695";
"Casa Rural de Alquiler";"VILLA LUZ II";"C/ SOLEDAD, 2";"42146";"Soria";"Abejar";"ABEJAR";"ABEJAR";"655594985";"975373117";"";"";"abejar@villaluz.com.";"www.villa-luz.com.";"";"";"";"-2,7818654";"41,8065695";
"Casa Rural de Alquiler";"LA PARADA ""A""";"CAÑADA, 2";"34844";"Palencia";"Triollo";"TRIOLLO";"TRIOLLO";"979750063";"617864829";"";"";"triollo_rural@hotmail.com";"www.triollo-rural.tk";"";"";"";"";"";
"Casa Rural de Alquiler";"LA PARADA ""B""";"C/ CAÑADA, 2";"34844";"Palencia";"Triollo";"TRIOLLO";"TRIOLLO";"979750063";"617864829";"";"";"triollo_rural@hotmail.com";"www.triollo-rural.tk";"";"";"";"-4,680567";"42,9239983";
"Posada";"POSADA DEL CAMPOO";"C/  LAS HUERTAS, S/N";"34811";"Palencia";"Pomar de Valdivia";"QUINTANILLA DE LAS TORRES";"QUINTANILLA DE LAS TORRES";"979128041";"";"";"979125422";"INFO@POSADADECAMPOO.COM";"WWW.POSADADECAMPOO.COM";"";"";"";"-4,1896941";"42,7784077";
"Casa Rural de Alquiler";"LA CORTE";"MAXIMA LOPEZ, 7";"24847";"León";"Valdepiélago";"VALDEPIELAGO";"";"667527531";"";"";"";"";"";"";"";"";"-5,3997742";"42,8711269";
"Casa Rural de Alquiler";"EL REFUGIO";"MAXIMA LOPEZ, 7";"24847";"León";"Valdepiélago";"VALDEPIELAGO";"";"667527531";"";"";"";"";"";"";"";"";"-5,3997742";"42,8711269";
"Casa Rural de Alquiler";"CASA DE LA MAESTRA";"MAXIMA LOPEZ, 7";"24847";"León";"Valdepiélago";"VALDEPIELAGO";"VALDEPIELAGO";"667527531";"";"";"";"";"";"";"";"";"-5,3997742";"42,8711269";
"Casa Rural de Alojamiento Compartido";"CASA DE LA PARRA";"JUAN ANTONIO MELON,28";"37610";"Salamanca";"Mogarraz";"MOGARRAZ";"MOGARRAZ";"923203082";"686584402";"";"";"";"";"";"";"";"-6,0523038";"40,4923914";
"Posada";"PALACIO DE CANEDO";"LA IGLESIA, S/N";"24546";"León";"Arganza";"CANEDO";"CANEDO";"902400101";"";"";"";"";"";"";"";"";"-6,687542";"42,6398377";
"Casa Rural de Alquiler";"CASA ESTEBAN";"EL POZO,16";"37523";"Salamanca";"Peñaparda";"PEÑAPARDA";"";"923486468";"";"";"";"";"";"";"";"";"-6,6699739";"40,3208745";
"Casa Rural de Alojamiento Compartido";"FUENTES DE ABAJO";"LA ROZA,3";"37671";"Salamanca";"San Esteban de la Sierra";"SAN ESTEBAN DE LA SIERRA";"SAN ESTEBAN DE LA SIERRA";"923435242";"675353558";"";"";"fuentesdeabajo@fuentesdeabajo.com";"www.fuentesdeabajo.com";"";"Si";"";"-5,9050374";"40,5058234";
"Casa Rural de Alojamiento Compartido";"LA HERRERA";"FUENTE HERRERA, 28";"37671";"Salamanca";"San Esteban de la Sierra";"SAN ESTEBAN DE LA SIERRA";"SAN ESTEBAN DE LA SIERRA";"923435006";"657867317";"";"923435006";"laserranilla@sierradefrancia.com";"www.lossitiosdeana.com";"";"Si";"";"-5,9069711";"40,5061969";
"Casa Rural de Alquiler";"ENCINARES III";"C/SAN LEONARDO, Nº 1";"05160";"Ávila";"Ávila";"NARRILLOS DE SAN LEONARDO";"NARRILLOS DE SAN LEONARDO";"659 084  525";"";"";"920253534";"casas-encinares@terra.es";"";"";"";"";"-4,7247687";"40,6952109";
"Casa Rural de Alquiler";"LA FUENTE";"PLAZA EGIDO,42";"37173";"Salamanca";"Trabanca";"TRABANCA";"TRABANCA";"923245845";"665089653";"";"";"";"";"";"Si";"";"-6,3852901";"41,2326048";
"Casa Rural de Alquiler";"PUERTA DEL SOL I";"PECUDO,1- IZDA.";"37710";"Salamanca";"Candelario";"CANDELARIO";"";"923413211";"626735537";"";"";"info@casapuertadelsol.com";"www.casapuertadelsol.com";"";"";"";"-5,7451085";"40,3666792";
"Casa Rural de Alquiler";"PUERTA DEL SOL II";"PECUDO,1-DRCHA.";"37710";"Salamanca";"Candelario";"CANDELARIO";"";"923413211";"626735537";"";"";"info@casapuertadelsol.com";"www.casapuertadelsol.com";"";"";"";"-5,7451085";"40,3666792";
"Casa Rural de Alquiler";"NINES";"C/ MOLINO DE ABAJO S/N";"40357";"Segovia";"Fuentidueña";"FUENTIDUEÑA";"";"921533575";"921533479";"";"";"";"";"";"";"";"-3,9789977";"41,4422568";
"Casa Rural de Alquiler";"DONDEVILLA";"C/ LA IGLESIA";"09551";"Burgos";"Altos (Los)";"AHEDO DE BUTRON";"";"947040163";"620131213";"";"";"dondevilla@wanadoo.es";"http://perso.wanadoo.es/dondevilla";"";"";"";"-3,6526841";"42,7682975";
"Casa Rural de Alquiler";"CASITAS DEL HUERTO I";"LAS CORREDERAS, S/N";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415237";"626383520";"";"";"";"";"";"";"";"-6,1106836";"40,4873677";
"Casa Rural de Alquiler";"CASITAS DEL HUERTO II";"LAS CORREDERAS, S/N";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415237";"626383520";"";"";"";"";"";"";"";"-6,1106836";"40,4873677";
"Casa Rural de Alquiler";"CASITAS DEL HUERTO III";"LAS CORREDERAS, S/N";"37624";"Salamanca";"Alberca (La)";"ALBERCA (LA)";"ALBERCA (LA)";"923415237";"626383520";"";"";"";"";"";"";"";"-6,1106836";"40,4873677";
